TX_NUM_EQUIPAMENTO,NOMELONGO,IDTRANSMISSORASIGET,IDCONCESSAOSIGET,TIPOCORRENTE,IDMODULOSIGET,DATAFABRICACAO,DATAENTRADAOPERACAOCOMERCIAL,DATADESATIVACAO,IDBDITEMPREENDIMENTO,IDBDITFUNCAOTRANSMISSAO,NUMEROOPERACIONAL,CODIGOATIVOCONCESSIONARIA,NUMEROPATRIMONIO,IdSubestacaoSiget,IDBDITSUBESTACAO,IDPATIO,FABRICANTE,SIGLAISOLAMENTO,NORMAESPECIFICACAO,tiposBarramento,CABOSCONDUTOR,TIPOCONDUTOR,idBDITNomeCabo,NOMENCLATURATUBO,CAPACIDADENORMAL,CAPACIDADEEMERGENCIA,CAPACIDADECORRENTESIMETRICA,CAPACIDADECORRENTEASSIMETRICA,IDAGENTEPROPRIETARIO,IDBDIT
11913012_CXBR501,SB 138 kV COXIPO 1 MT,372,6430,1,5848,1984-01-01T00:00:00,1984-01-01T00:00:00,,,,CXBR501,11913012,185000000237-BR1,805,8fcc15b2-a939-4c80-8d59-c239b1172d15,24232797-37ee-472f-9869-e7fc2fbca64b,PIRELLI,1,10,1,1,COREOPSIS,27BDC4BE-23C3-411B-8E3F-F3E18AB7A378,,3004,3515,20,52,ENT,24232797-37ee-472f-9869-e7fc2fbca64b
11913414_JUBR601,SB 230 kV JAURU 1 MT,372,6430,1,5849,2015-01-01T00:00:00,2015-11-29T00:00:00,,,,JUBR601,11913414,185000000237-BR2,820,e97bed7f-5c33-4d2f-b6d3-eff25262b8dd,112dab08-b05e-4176-8562-217b1fcf7927,PIRELLI,1,10,1,1,TERN,D8B9546C-BC4B-411E-995C-4A9DE0A53BB2,,993,1162,20,52,ENT,112dab08-b05e-4176-8562-217b1fcf7927
